SizeRank,RegionName,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023
0,California,327598.1958,322477.1038,318224.5661,314286.0483,310503.0028,307244.676,304838.2321,302837.6706,301257.2628,300433.6487,301319.6719,303257.5208,305233.0452,306088.593,307195.298,308561.3574,310066.5932,310128.2859,309131.0245,307309.5108,305433.8766,303398.5461,301614.7743,300345.8353,299338.6631,298345.0817,296874.9872,295320.3062,293004.6687,291134.6588,289524.8242,287764.2546,285681.625,283443.1878,282354.6189,281650.7227,281298.156,280776.5216,280231.9301,279904.8806,280197.4925,281319.6245,282905.1444,285430.1533,288885.6197,293339.2089,298219.5778,303410.2735,308218.0564,312406.3,315913.2478,320017.1195,325682.8643,332575.2763,339566.603,346272.553,352875.5332,359418.4757,364894.6777,369318.8185,372527.7843,375166.6948,377598.3466,380590.9718,383835.0386,386474.1022,388177.4247,389705.4949,392301.685,395624.1125,399291.0786,402602.5833,405563.9706,408108.9643,410249.6555,412346.2892,414663.6308,416989.7372,418741.7416,419877.8213,420865.0722,422078.4536,423064.8213,423983.6322,427295.5377,432902.417,439236.6937,443963.1128,447058.9394,449810.3882,450886.3856,450680.5994,449162.4593,448675.3218,449550.2185,452068.4016,457005.9796,463536.649,470590.3172,476383.4981,480681.8678,484422.7077,486281.2969,487887.9762,489556.9293,493081.7595,496962.1368,501514.0307,506624.9888,512179.1882,517161.253,521228.8801,525028.7319,528192.3969,531027.335,534074.3949,537534.8041,541339.2425,544099.8025,545721.2026,545313.6248,543769.7386,542118.6099,541323.5601,540970.034,540862.1716,541578.3104,543574.9109,546495.3629,549867.4271,553537.281,557259.1969,560201.3758,562558.4248,564874.6721,567088.3088,567507.9684,566504.0294,566845.8059,571053.5427,579573.2527,590225.0598,602226.1567,614034.3199,623814.8553,632098.0748,639475.4995,648650.0347,659378.8288,670662.4279,681027.6208,688097.3372,692863.7386,697035.1635,702786.2507,709921.6606,720128.6116,733413.6269,749601.1417,764316.4661,775387.4811,781245.1365,781447.7141,776462.4102,768612.0088,761629.5402,756156.4549,750665.2175,743173.1243,736723.8309
1,Texas,130679.1524,130431.8982,130330.4782,130313.5431,130313.8507,130290.0693,130302.5342,130199.1407,130061.2483,129875.4013,129918.3811,130040.5385,130102.6328,130094.2131,130122.6989,130292.9727,130489.5682,130538.2541,130315.0188,129876.5929,129356.0571,128828.6568,128281.7064,127806.7122,127392.4373,126952.7378,126522.5906,126106.7947,125780.6904,125444.8093,125260.8613,125152.9458,125116.3188,125012.9067,124818.9975,124591.642,124487.9311,124639.3661,124916.7767,125213.2714,125547.1182,125987.8949,126466.9517,126806.8414,127089.7831,127372.6444,127719.2262,128087.9318,128581.6238,129192.6096,129911.0433,130610.8518,131421.5755,132390.4931,133319.537,134216.5174,134907.4915,135689.801,136409.2113,137217.3524,138190.4297,139306.4465,140452.2739,141441.4803,142425.913,143419.5332,144551.077,145577.8873,146491.6752,147154.3864,147974.0331,148914.6468,150066.5862,151250.7599,152409.4845,153506.8616,154568.3251,155618.9603,156701.5583,157829.9976,159008.3296,160212.0721,161285.6023,162381.0118,163534.1151,164713.9889,165582.721,166419.7561,167245.992,168221.3959,169040.873,169840.3394,170758.4483,171763.8745,172885.8901,173968.2412,175014.8191,175946.7868,176930.8245,178042.4121,179053.2545,179973.4621,180692.9472,181454.8412,182228.7624,183145.9677,184139.9701,185233.3908,186306.7752,187275.0691,188374.8687,189383.1968,190434.2944,191253.259,192214.978,193095.7768,193964.0142,194637.5717,195398.8637,196242.9717,197096.6557,197868.8157,198562.5781,199149.645,199667.4324,200155.563,200672.2694,201298.5881,201975.3048,202853.9765,203875.1193,204981.533,206128.9145,207261.2531,208392.4694,209207.9205,209526.4501,209724.3879,210398.0499,211792.9373,213868.001,216188.1027,218835.296,221414.0202,224170.7215,227138.0851,230494.6086,234184.9142,238394.366,242895.8625,247170.4675,250575.3293,253185.6069,255760.9258,258955.0002,262579.0331,267255.7423,272412.3235,278223.7676,283899.936,289156.0828,293754.1507,296536.166,297397.1529,296724.3178,295787.5325,294811.6567,293301.5273,292007.125,291193.5246
2,Florida,177404.9523,174090.5456,170994.2609,167895.5733,164902.8937,162044.0195,159644.2892,157445.744,155433.1333,153732.4781,152631.3648,151837.0295,151232.6679,150702.637,150352.9754,150040.1166,149615.8666,148962.2421,148027.5296,146843.4707,145523.9152,144159.1514,142755.6729,141400.3074,140034.2467,138740.2807,137424.2754,136140.091,134856.0991,133697.7053,132636.0528,131795.8282,131154.6791,130769.4453,130545.8409,130422.7909,130408.7954,130509.1689,130696.51,131069.9407,131531.5615,132149.8658,132769.4367,133339.1548,133943.2153,134677.3362,135714.3389,137106.1878,138677.8468,140274.7041,141903.888,143618.0999,145582.2648,147541.543,149447.9477,151278.8632,153038.7004,154904.0696,156580.108,158308.0137,159940.3414,161649.5023,163234.3167,164614.2732,165961.5409,167061.7411,168201.1847,169182.9271,170220.2267,171113.6385,172216.9477,173527.8914,174965.8094,176253.3896,177399.3016,178555.6673,179872.5912,181215.297,182725.9416,184287.7626,186005.4473,187788.9961,189520.5124,191130.2073,192649.6305,194098.7506,195406.8177,196776.9694,198171.5775,199673.5471,201017.938,202390.0514,203935.0204,205612.9031,207146.9106,208446.1771,209632.4863,210976.2613,212528.3013,214179.3431,215649.545,217145.6564,218540.9385,220067.5338,221557.0149,223153.7177,224789.5626,226484.5833,228023.2818,229381.9863,230745.2686,232101.2055,233520.4666,234750.1122,236258.9924,237745.8641,239241.1007,240502.7865,241812.6346,243209.9217,244451.5988,245585.7209,246379.4934,246993.9803,247354.9054,247838.582,248444.1398,249245.4835,250045.4494,251090.8771,252496.4153,254211.5768,256257.7305,258226.7516,260003.6497,261167.2385,261604.4925,261906.7084,262680.1721,264501.6145,267333.2495,270626.648,274423.3258,278184.366,282190.2342,286272.0323,290579.8846,295213.6526,300557.9144,306912.7985,313318.9819,319032.3612,323706.6431,328318.978,333501.7701,339114.705,346268.1531,354642.86,364394.0199,374130.6237,383089.9848,390799.7714,396019.2548,398534.7743,398620.8155,397908.7148,396954.8267,395281.0103,393490.0454,392093.6481
3,New York,218626.0358,217654.2114,216801.5287,216115.043,215460.9124,214764.1107,214043.3261,213281.8222,212641.1163,212149.5753,211838.6919,211647.2606,211489.7682,211491.4572,211591.4737,211972.1088,212384.1307,212860.8213,213119.4602,212976.81,212456.2742,211589.0294,210735.4712,209909.7665,209348.0583,208902.149,208580.2897,208160.3602,207728.1128,207121.4792,206534.55,205948.603,205409.2511,204877.1401,204311.9622,203835.2283,203423.2404,203289.4008,203468.5142,203795.5129,204058.628,204167.3222,204177.221,204040.8545,204043.1862,204002.9877,204119.666,204299.5532,204887.7137,205715.169,206516.8782,207209.0377,207850.923,208690.1834,209465.6406,210207.9541,210766.6063,211408.9515,211969.5789,212479.1734,213028.0485,213684.328,214564.6486,215458.3937,216436.9753,217072.5806,217562.4477,217888.6263,218367.2758,218733.2142,219240.6616,219780.5641,220384.0703,220929.7897,221355.4894,221809.1202,222410.8421,223084.958,223910.6945,224949.7104,226353.0488,227889.3323,229204.977,230323.28,231268.9655,232082.8996,232516.596,233075.9216,233781.3434,234845.8052,235659.7935,236257.8476,236751.2729,237457.8746,238524.7946,239972.6268,241367.8703,242597.5356,243589.4487,244922.7192,246270.5225,247572.3883,248689.4746,249895.5172,251149.8969,252491.0921,253576.2905,254412.1096,254767.3249,254814.2064,255445.8032,256671.8461,258816.1456,260983.5817,263458.0913,265717.3121,267647.8373,268884.9016,269844.1438,270673.1675,272011.0585,273736.3462,275773.7655,277504.4866,278693.1081,279892.2175,281093.9959,282486.0617,283492.3165,284538.5852,285835.7525,287368.3269,289185.2168,290945.6985,292726.1299,294293.6632,295466.62,296230.4543,296980.625,298398.1812,301201.1504,305052.1784,309813.8914,314913.3785,319771.168,324676.6655,329186.0853,333630.5052,338280.7769,343236.4117,347644.6111,350670.9216,352355.5627,353996.3586,356154.1141,358774.4849,362273.4498,366413.6814,371594.5677,377087.9488,382523.6828,387841.0742,391728.9782,393610.9624,393361.6097,392566.7012,391803.8049,390579.1969,390521.4093,391472.7047
4,Pennsylvania,145856.9974,145443.1409,145235.6283,145109.4878,144889.5034,144592.4162,144269.926,143892.7768,143537.3416,143292.0289,143241.8256,143319.2386,143541.0455,143850.3103,144283.7129,144707.0699,144991.562,145048.6132,144837.7148,144428.1912,143814.7247,143087.0755,142284.146,141525.2256,140865.6086,140327.6937,139915.4683,139475.7774,138972.0366,138329.001,137689.8002,137157.4569,136777.5387,136461.5891,136145.1999,135835.2432,135566.4571,135509.996,135812.81,136262.5411,136707.0233,136912.5867,137025.3324,136954.3168,136895.0191,136800.1621,136766.8862,136773.2433,136834.7454,136898.9895,137138.2905,137575.7955,138218.7967,138795.5012,139029.7158,139172.3418,139177.7029,139436.329,139628.9912,139871.1191,140067.1442,140261.3208,140492.9918,140840.7684,141337.2413,141826.1123,142322.8812,142586.1472,142652.3283,142403.7496,142285.2461,142338.2145,142478.482,142582.8552,142811.0472,143241.0584,143834.4819,144376.5527,145014.4092,145733.4938,146443.1142,146998.1959,147308.4234,147695.9227,148201.1049,148711.2635,148776.0631,148779.9221,148976.2799,149460.6224,149859.2798,150262.303,150772.0031,151405.7349,151991.2907,152651.1174,153237.096,153764.7146,154201.2577,154715.6624,155269.3567,155836.2872,156420.7542,157049.7958,157736.6456,158544.1626,159470.6737,160389.3374,161228.0706,161972.3912,162989.0388,163960.253,164756.6961,165210.5903,165659.5625,166155.7293,166621.3604,166916.6476,167239.1672,167646.8598,168329.8736,169314.162,170330.9947,171156.0113,171707.2577,172317.9977,173018.934,173775.0227,174474.7136,175330.3034,176387.8633,177532.2503,178638.0292,179832.2718,181131.1401,182576.0104,183500.1915,184017.1068,184554.8614,185788.3059,188041.9145,190759.5763,193947.082,196953.6389,199748.6084,202470.5811,205258.3908,208085.2353,210911.2552,213886.0878,216035.6955,216866.6563,216152.819,215602.8353,215772.1336,216792.8379,219244.5647,222798.9741,227213.259,231164.7631,234195.283,236537.5358,237480.6122,237387.3863,236580.1374,236404.4026,236700.4259,236978.9479,237499.7963,238134.096
5,Illinois,160422.5758,158495.2481,156617.5978,155397.3167,153971.2762,152805.0636,151668.3732,150629.0511,149252.2768,147928.4465,146663.0993,146018.3547,145384.4265,145065.9851,144363.9048,144452.7336,144213.5784,144522.3975,143559.4384,142700.502,141312.6849,140181.8383,138630.2773,137114.9035,135751.1638,134679.0888,133899.8713,132962.5151,132249.9079,131349.7526,130820.5224,130074.1737,129357.1542,128131.3414,127132.0179,125892.3421,125088.2976,124312.0263,123923.2586,123642.0734,123488.2823,123612.8656,123913.3092,124122.0376,124276.1326,124243.7329,124096.8257,123946.4541,124019.0343,124486.9396,125158.361,126109.5663,126960.0544,127984.8813,128857.9591,129981.465,130980.915,132217.7893,133281.7524,134322.5843,135101.7263,135905.3815,136564.318,137252.4455,138020.9948,138879.0817,139800.032,140542.3905,141074.2936,141388.6093,141701.6604,142063.7687,142307.773,142338.4103,142548.0959,142943.7763,143688.2111,144322.6737,144974.1147,145566.8247,146265.1317,147207.339,148089.3968,148940.1375,149747.1236,150607.3053,151201.3129,151732.9412,152260.4146,152899.7079,153246.8186,153531.3694,153785.771,154355.2643,155008.3169,155898.1257,156818.9256,157858.9392,158983.7505,159916.7497,160613.2279,160892.5578,161089.1522,161317.8177,161929.1307,162762.7398,163790.1791,164822.0513,165931.1938,166910.9113,168021.6682,168825.7358,169482.4164,169552.3221,169714.075,169712.1756,169900.435,169964.9678,170235.9986,170704.7856,171552.1,172744.3848,173898.8626,174797.9035,175226.8032,175474.3295,175462.8709,175495.3282,175394.3437,175564.5533,175948.5635,176630.6245,177613.8694,178829.0434,180102.5044,181138.2216,181512.5704,181496.6501,181497.3088,182203.4381,183932.9463,186188.7259,188847.0784,191366.5148,193871.1083,196518.2051,199191.1312,201763.6473,204146.2969,206638.5361,208868.8981,210393.6234,211009.9038,211587.6506,212657.1847,214390.8404,217148.4866,220803.7319,225154.4789,229178.8596,231962.2195,233889.7727,234386.7698,233990.4244,232721.9149,231896.5075,231444.3093,231057.6766,231464.095,232421.3043
6,Ohio,111973.8762,111228.1641,110557.782,110091.1734,109767.6717,109483.3706,109138.9243,108761.8484,108413.3408,108163.653,107913.5045,107702.0066,107495.8052,107447.5312,107427.4174,107473.8833,107480.7993,107440.1789,107221.1415,106891.6417,106447.415,105945.6061,105354.7073,104709.3867,104098.2967,103523.6931,103071.4998,102612.6446,102167.8113,101733.7315,101430.2023,101204.7264,100969.0408,100680.3302,100373.0076,100104.7474,99791.58413,99600.19399,99636.55265,99885.48174,100202.8194,100420.615,100627.5448,100677.4104,100787.8605,100891.5178,101040.356,101160.0414,101333.2547,101582.7597,102024.7863,102632.7296,103403.1522,104092.0451,104653.2544,105188.4618,105637.1827,106058.1643,106196.6651,106326.9929,106330.3991,106419.4225,106526.181,106876.1705,107518.9916,108227.2175,108889.3745,109307.3171,109536.9153,109506.1452,109537.6463,109742.7897,110107.8742,110477.5187,110887.2044,111412.7479,112089.9524,112752.533,113448.1687,114164.9339,114843.6254,115476.1761,115867.0989,116341.0299,116979.6911,117784.5995,118304.5479,118633.4167,118867.9473,119269.2981,119537.9806,119812.2346,120143.1176,120654.3755,121201.3775,121786.335,122337.1431,122828.7126,123325.4718,123892.9021,124475.6308,125060.6968,125660.2987,126296.8298,126875.3351,127484.1472,128188.9269,128919.3497,129548.7098,130083.8342,130829.442,131602.9613,132411.826,132966.3479,133597.8384,134206.3169,134928.7815,135514.5765,136222.0465,136930.0045,137787.7006,138775.868,139806.1043,140617.1171,141143.8168,141642.1537,142181.5174,142692.2372,143120.8965,143687.7468,144490.4681,145361.5332,146360.0494,147427.6046,148618.8662,149690.9091,150408.1197,150951.1474,151716.0557,153127.1504,155266.7718,157845.4161,160652.8145,163274.507,165622.0919,167867.7408,170173.731,172597.1997,175101.9632,177655.4824,179389.598,179880.9483,179304.3447,178940.5477,179259.0047,180056.5503,182183.4846,185357.7289,189264.9619,192846.8771,195720.2186,198305.4149,199765.3423,200342.7186,200057.3982,199881.3867,199869.7365,199930.9995,200318.8299,200943.1731
7,Georgia,141253.816,139746.1291,138390.3144,136936.5784,135418.8964,133959.6854,132722.3464,131670.7045,130679.31,129701.3492,128828.2817,128133.0417,127490.8855,126941.6737,126506.1399,126303.6273,126138.5528,125873.6904,125231.469,124297.0033,123052.4298,121854.98,120623.6411,119479.2239,118337.1564,117380.2988,116418.113,115319.1529,113982.375,112665.737,111558.0962,110775.4608,110255.9664,109864.8457,109539.1247,108997.0861,108535.6768,108187.3248,108319.0647,108664.8803,109164.9862,109779.5794,110434.3193,110865.3111,111264.2982,111572.6288,112035.4313,112485.5006,112970.2534,113572.1336,114481.071,115684.8066,117210.364,118778.3493,120316.9476,121774.5873,123029.4569,124328.3266,125385.2194,126545.6653,127595.2846,128748.6888,129808.6804,130867.978,131942.7937,132854.2334,133657.643,134306.8167,134894.26,135351.9432,135887.6179,136455.7018,137014.4455,137571.0472,138189.1983,138950.8747,139777.6467,140610.3286,141528.953,142481.3468,143491.8538,144470.0374,145347.565,146242.156,147240.9366,148225.6011,148932.4934,149647.4473,150351.4637,151098.1276,151525.3577,151888.6686,152405.5106,153160.0211,154070.8538,155047.5455,156004.7424,157023.2176,158054.6618,159117.5593,160024.8309,160865.7519,161762.4028,162724.2584,163764.5158,164872.7675,166174.512,167663.0335,169142.5652,170544.4054,171950.4,173208.4298,174422.2415,175375.4523,176581.7634,177812.535,179252.8591,180461.3609,181756.9042,183080.6693,184474.8898,185747.4837,186880.5143,187852.7405,188675.3173,189413.758,190165.3952,191031.4651,191834.4392,192818.6195,193999.3156,195433.8297,197023.9968,198642.6836,200210.1213,201459.0927,202110.3849,202551.7328,203332.9451,205004.4802,207629.7523,210853.668,214480.9153,218110.8141,221799.6356,225674.7775,229735.2855,233946.0651,238460.5137,243337.0795,247752.3884,251227.8419,253947.0326,257102.7923,261100.2518,265666.4672,271602.0941,278285.189,285342.9509,291707.1241,297092.874,301748.7541,304530.5673,305642.2328,305281.8757,304622.0809,303754.9563,302521.8931,301731.695,301407.412
8,North Carolina,152883.9373,152332.0436,151893.9653,151444.8345,150859.145,150198.0284,149542.2566,148799.8497,148122.869,147557.7795,147175.3775,146811.3866,146476.7863,146114.5495,145827.9707,145700.3697,145661.7286,145549.7574,145183.2004,144651.833,144040.4084,143435.2878,142816.9353,142216.2449,141591.4476,141001.5947,140395.2329,139743.9177,139109.4511,138533.168,138028.9454,137513.4174,137056.5127,136537.5869,136022.6033,135523.8117,135137.4788,134989.4596,135105.3054,135455.9908,135869.4247,136196.7312,136473.0116,136521.2187,136600.3769,136612.8573,136642.8789,136606.2982,136515.8128,136529.6943,136630.6211,136906.0969,137377.4819,137989.2324,138632.3457,139263.8041,139782.58,140313.6665,140620.1441,140903.9476,141216.3505,141774.1691,142384.6987,142981.3926,143577.9822,144082.8051,144522.2045,144790.0222,145007.5653,145087.1343,145306.2185,145660.9419,146177.03,146735.5177,147266.0188,147828.597,148439.9392,149058.1828,149725.1862,150433.7897,151217.0767,152067.5987,152811.2893,153639.3134,154570.8229,155514.3503,156120.8802,156616.5139,157068.205,157698.5667,158238.1375,158942.2361,159803.187,160849.0861,161874.1321,162856.4402,163682.7041,164380.9212,165012.8369,165836.2936,166662.4103,167540.0857,168365.7963,169267.4662,170167.2208,171141.5022,172256.7917,173432.5221,174591.8981,175670.7353,176852.6693,177895.6557,178876.8895,179682.9715,180636.6116,181602.4776,182612.9442,183469.179,184424.7751,185434.6267,186570.8056,187661.8366,188797.8836,189815.2273,190684.6775,191413.918,192149.8438,192972.7489,193755.552,194773.9478,196048.7423,197457.3998,198864.3884,200299.5096,201902.5343,203361.0013,204310.7907,205000.6292,206006.5376,207871.5959,210659.207,213958.2179,217522.7708,221079.2363,224555.8121,228200.1472,231929.4552,235893.0113,240262.6516,245152.5671,249625.8649,252855.3395,254888.5125,256824.1516,259415.2662,262371.7172,267039.8967,272990.4012,280274.4788,287463.9568,293969.8684,299628.8403,303167.3372,304661.4331,304419.677,303916.2823,303288.8223,302299.2683,301754.3689,301876.9513
9,Michigan,98346.23039,96631.47043,94962.43233,93521.37494,92241.76528,91075.47101,90101.9065,89177.60316,88368.60134,87473.40544,86697.16651,86001.80335,85555.52866,85124.89055,84857.98146,84755.26172,84879.39595,85067.81698,85027.15965,84775.5401,84265.87341,83672.57163,82965.65783,82294.50556,81602.36414,81017.07459,80493.94114,80005.75511,79569.76268,79147.34392,78844.09459,78702.72089,78659.79314,78611.46231,78472.47692,78298.50286,78170.03044,78260.21633,78530.65823,79040.49366,79687.04245,80397.83463,81078.56403,81576.22804,82182.31883,82850.3501,83510.59345,84113.68093,84681.95531,85322.85521,86153.00196,87147.5553,88316.65572,89553.94663,90740.70748,92085.86306,93274.23345,94418.34979,95133.76285,95747.64671,96396.17458,97262.31116,98083.71176,98994.27121,99898.00879,100902.1161,101842.2814,102592.7118,103127.7845,103302.3334,103510.325,103781.329,104218.883,104696.9235,105371.268,106232.6472,107234.4695,108133.0764,108889.6666,109579.957,110279.1296,111019.2367,111645.2166,112299.1023,113089.4389,113904.0165,114464.2991,115050.3352,115724.0316,116609.9436,117199.6164,117751.1024,118302.8357,119021.0031,119816.9957,120711.904,121651.9478,122565.8195,123484.2251,124369.5373,125238.8728,126084.2153,126974.692,127750.256,128459.1055,129117.9127,129941.1398,130817.8276,131811.1062,132762.2128,134008.7915,135161.6712,136349.209,137191.8038,138199.6817,138923.4375,139605.5017,139794.4945,140234.9322,140895.0742,142000.4644,143307.8414,144695.2965,145960.2272,146980.0208,147771.6837,148225.8233,148475.4182,148607.0726,149139.7582,149957.0252,150788.687,151748.1705,153001.3086,154518.2838,155920.7201,156663.0249,156958.8868,157217.2108,158090.0868,159981.95,162313.4206,164971.9895,167398.6601,169996.5644,172894.8683,175969.8942,179042.9228,182129.3789,185305.8907,187623.1035,188520.6113,188162.998,187775.8519,188003.2694,188731.2239,190881.453,194284.7743,198592.8304,202615.9186,205545.8029,207682.0063,208159.5079,207536.8226,206155.4005,205245.4337,204589.7929,204092.9109,204881.4452,206317.7325
10,New Jersey,296661.8778,294970.0829,293328.7971,291290.5313,289159.6775,287034.3559,285066.1578,283344.3228,281866.8483,280799.2497,280075.0909,279806.437,279732.5807,279834.6901,279826.2983,279736.7073,279502.7481,279083.4307,278407.8426,277316.0373,275810.7433,274003.1203,272221.0816,270558.7159,269169.3308,267848.0857,266492.4679,264964.2319,263272.2895,261461.3984,259514.2047,257708.4697,256100.7507,254642.1136,253080.7557,251483.2456,250185.654,249702.6443,250266.2869,251130.2052,251866.9629,251956.1271,251904.1463,251401.5363,251214.5068,251120.7223,251474.2862,251881.3511,252483.2519,253059.6227,253501.8846,254000.8937,254827.8061,255812.7731,256954.6195,258279.522,259812.3308,261314.7439,262190.5802,262892.9387,263891.9164,265619.0515,267824.0384,269952.8992,271982.597,273284.8816,274102.2107,274477.9371,274921.3867,275251.152,275473.3451,275541.1271,275629.7238,275889.7016,276487.0926,277079.2841,277864.2904,278418.0693,279185.6783,280212.126,281693.6225,283418.866,284940.5152,286259.5551,287267.7747,287985.3253,288237.0377,288623.0104,289223.6432,290137.3023,290870.9266,291406.616,291711.288,292091.6347,292599.7764,293653.0057,294669.875,295760.1555,296637.1435,297972.987,299488.8434,301083.9981,302251.949,303103.5151,303941.9122,305003.4237,306319.9342,307522.2203,308673.5604,309691.5019,311105.3702,312476.021,313946.0987,315235.585,316812.6383,318149.9749,319094.1155,319546.9254,320251.9457,321140.2574,322282.96,323653.903,325472.2756,327536.0894,329147.9651,330328.882,330963.4784,331512.4738,331847.7515,332599.4077,333970.1631,335711.5845,337800.0279,339725.844,342097.9445,344424.1868,346144.4415,346767.7421,346881.6296,348145.7068,351613.7649,356687.5492,362666.5352,368861.0905,374624.8603,380489.195,385869.9623,391305.7038,396520.3804,401599.6724,406087.9361,409020.2042,410680.442,412165.5452,414552.2728,417570.1538,421465.7454,426058.83,431935.9872,437997.5011,444123.6638,449221.6186,452072.4999,452232.3068,450662.1464,449547.8026,449081.6593,448729.0949,450521.1846,453003.1638
11,Virginia,216907.5429,215465.239,214038.4848,212723.0447,211573.7887,210528.2733,209620.6653,208701.6456,207791.5734,206953.6449,206467.2838,206369.9282,206627.9286,206911.133,207225.576,207583.4719,207943.8341,207985.0287,207475.0569,206616.3352,205684.7486,204849.1252,204022.7176,203349.2536,202750.0864,202142.0831,201474.5012,200856.1356,200303.2683,199814.823,199326.0169,198901.0235,198372.8916,197789.0043,197264.3051,197004.9338,196930.3931,197128.1097,197729.2118,198676.5335,199722.6939,200714.9809,201573.1179,202341.6625,203108.0482,203956.1594,204789.2709,205427.5638,206151.6867,206982.6259,207796.2397,208463.2353,209217.034,210266.1902,211280.5104,212272.8776,213113.2874,213982.0774,214588.1525,215051.4827,215479.827,215828.8137,216372.7172,216956.5098,217820.8,218405.029,218872.4926,219214.1409,219648.053,219975.8636,220308.973,220676.97,221095.1164,221501.3015,221889.5056,222319.199,222838.57,223331.9685,223981.5304,224797.7483,225781.2099,227052.9182,228367.8904,229795.1967,231124.1464,232164.729,232667.0521,232822.1255,232966.3103,233361.1209,233774.9504,234259.9623,234893.6244,235776.1791,236840.1639,237943.2971,239001.4287,239999.2686,240888.8386,241816.7642,242599.3913,243333.415,243887.4412,244425.7428,245052.6086,245909.6714,246841.1658,247812.731,248707.9011,249639.6064,250771.2015,251726.8432,252582.1044,253015.605,253754.2303,254527.3344,255450.1072,256018.3805,256549.7424,257020.5477,257701.518,258731.8386,260122.0261,261543.3885,262567.1895,263319.3529,263925.3424,264663.4603,265428.5048,266333.1435,267502.4135,268919.897,270537.9135,272168.7788,273715.6726,275002.1275,275720.1861,276234.2416,277128.2324,279097.1308,282275.5775,286139.3177,290261.7639,294174.1226,297865.146,301663.9696,305550.4407,309650.1628,313935.6359,318148.5382,321303.3892,322929.9368,323254.4929,323667.0657,324955.2392,327264.7106,331272.1132,336056.2158,341568.5358,346769.0564,351430.8894,355281.1558,357184.3753,357366.7618,356218.3132,355385.7494,355085.0728,354872.3614,355065.0441,355527.9438
